sentence,cleancontent
i found the social scene was a little exclusive as a solo traveller but may have just been the people there when i stayed,0
overall really good,0
awesome place to stay,0
my flight was delayed and they handled my 3am check in with no problem at all ,0
id stay there again in a heartbeat,0
wonderful place to stay pleasant walk through a park to get to the train station,0
no stress checkin,0
hostess was very sweet and helpful,0
spoke good english which was a plus,0
would recommend for anyone looking for a great budget place,0
loved my experience at this hostel,0
it was very clean and the rooms were nice,1
they had fun activities to participate in make your own crepes and fun entertainment in the bar,0
however i would not recommend this hostel for anyone that does not like noise,0
since they have a great bar you can often hear it from your room at night,0
this wasnt an issue for me,0
but i know it bothered some,0
i would definitely tell people to stay here and would go again,0
had a super time,0
great atmosphere created by the irish girl with the curls niamh,0
she was very helpful and even more fun,0
good value bar prices too,0
a nice place to stay directly next to the gare du nord train station,0
only problems were the staff was not as helpful as we wouldve liked them to be asked for a recommendation on a place to eat nearby at about 11am and they told us everything in the area would be closed but there were several cafes that were open right across the street and there was black mold growing on the ceiling in the bathroom dont have to touch the ceiling,1
so it didnt bother us much,0
room was small but fine,0
the lobby area was nice but the room was dark very cramped and not super clean mattresses had stains,1
the staff were so so so friendlykind,0
the location is fine because its close to the ubahn and 10 to 15 min walk to sbahn but is a bit far away from popular neighborhoods like mitte kreuzberg friedrichshain,0
overall good experience,0
location is good walkable to most things if youre like me and walk most cities instead of metro,0
had ac but was still unbearably hot especially the second night,0
very good staff,0
good vibe and pretty social atmosphere,0
loved the privacy curtains on the beds,0
just a heads up,0
book this hostel direct and you can get free breakfast instead of through hostel world and then having to pay ,0
dont stay there if you dont have to,0
you can see any kind of insects such as spiders,0
beds are not well and clean,1
its not a traveller hostel,0
youll see people came from other countries and working and trying to live in london,0
no plugs for beds,0
i dont suggest you to leave your phone away,0
no ac,0
8 people and small window,0
its close to the central london,0
its a cheap place makes you not a homeless but dont come here for holidays guys,0
dont stay there if you dont have to,0
having somewhere welcoming and in the centre of the hongdae district was really amazing,0
the staff were helpful the few times i needed help and it had the great vibe you want from a hostel with friendly guests and people willing to go out and do stuff,0
will definitely come back when i come back to seoul,0
staff are helpful,0
dorm room is cramped,0
kitchen is nice,0
downstairs restaurant is a lovely area,0
security is good,0
an okay place,0
but for the price it could really do better,0
this was a good place to stay,0
they provided a video exactly of how to get there from the airport which is a really nice touch ,0
dj is so nice and helpful and cooked an amazing lunch for all the guests,0
the common area is very squished and the dorm rooms are right off of the common room,0
so it could be difficult to sleep if people were hanging out in the common area,0
most of the books were manga or outdated travel books,0
the place has its own bar and the atmosphere is nice,0
it looks like a party hostel where you can easily meet travelers and have fun but not the kind where you have to be afraid of people ending up overly drunk in your bed,0
i stayed a couple days only and chose to just rest and see the city managing to do so without any trouble,0
very well organized and clean,1
not clean,1
bad breakfast,0
the staff dont know to answer questions about tourist staff,0
location was great in good silence place will not come back,0
we only stayed overnight as we were catching a train out the next day,0
the rooms were spacious  had baskets underneath the bunks to lock your things away,0
beds werent too bad,0
located in a nice area public transport only a 5 minute walk,0
overall was a very nice clean friendly hostel,1
the location is good but the place is weird,0
they dont let you go into your room from 113 which is super super annoying if youre staying for more than a night,0
the wifi if horrible,0
 it was boiling hot and the room of 6 only had one fan that the person nearest too would just turn it around and point it at themselves,0
basically woke up in a pool of sweat thinking id wet myself,0
the atmosphere of this place is definitely weird and forced,0
a bunch of people who dont know how to make plans,0
so they expect the hostel to make plans for them,0
wifi could barely be used which many international travelers rely on,0
facilities need an upgrade as the shower water would rocket from ice cold to scalding hot without prompt and there was no way to avoid this water as the shower is so confined shower space was less than 1m,0
x 1m or 1yd x,0
1yd,0
rooms were cramped with little storage space and incredibly hot in the summer months ,0
despite this the staff was excellent,0
very friendly and happy to help,0
the location also could not be beat,0
great hostel,0
would stay again,0
big hostel vibe,0
standard largesized lockers,0
very very clean,1
free shampoo and towels,0
karaoke is hella fun,0
nishiarai seems a bit further away from central tokyo than id like but metro is close so its really no big deal,0
staff are cool and nice and host cool event but very professional and not the lets get drunk together type,0
good hostel to base out of tokyo though,0
we had an excellent stay and the staff even gave us a free upgrade on our room ,0
the room was clean but not spotless,1
we definitely felt like it was a safesecure place in an excellent location near barsrestaurantspublic transit,0
expect to pay for any extras,0
but id say that for instance the breakfast was excellent and at a good price ,0
the music from the barcourtyard was a bit excessively loud and was a bit bothersome at night but they eventually shut the music down at around midnight,0
hostel is fine,0
cairo is a dirty city where everyone tries to sell you something,0
the staff is very nice and helpful,0
they answer all my questions nicely,0
location is ok with public transport,0
the kitchen is spacious and i cook most of the time,0
recommended,0
i loved the stay here,0
the room is small but all i was doing was sleeping there to be honest,0
the beds were hard but i slept well enough,0
the location is incredible,0
right in the middle of myeongdong and so close to the subway and bus stations,0
the staff were so great and helpful with anything i needed,0
i would stay here again for sure,0
i stayed at hostel enishi for 1 night on a 2 day trip to tokyo,0
the hostel was very pretty and cleanly organized inside,0
the staff were friendly and helpful and i would definitely consider coming back to the hostel if i play to travel around shibuya,0
the location is not close to shibuya but you can get there on a subway that is not far from the hostel,0
it is a good place for the price,0
really glad that i chose this place as my hostel,0
would definitely recommend,0
great spot,0
location is a bit out of the way but london is so big it is almost hard to find somewhere to stay that you wont have to walk or take the tub to,0
very clean facility probably one of the nicest hostels i have ever stayed in and the bar had a good atmosphere,1
bathrooms flooded multiple times rooms were boiling and showers left much to be desired,0
pros good location ok price clean bed small hostel so good for making friends cons not very clean especially the floors bring socks,1
short reception hours i felt like i was bothering reception when asking questions and they kept turning the air conditioning off,0
theres lots of rules here and they will be enforced,0
i had a pleasant and enjoyable experience staying in baxpax downtown hostel,0
the staff were friendly and quite efficient,0
the facilities in the hostel were good but they could be improved in some areas,0
the dorm rooms in k studio was lacking basic seating despite plenty of available room to manoeuvre,0
the lounge games room could do with more seating because the sofa and chairs were taken at busy times,0
there is sometimes a big queue to use the washing machine and tumble dryer so do plan ahead,0
this hostel has a great lovation,0
it is near metro and beautiful montmartre,0
our room and bathroom were cleand everyday,1
hostel has a nice kitchen outdoor area and luggage storage that you can use after you check out,0
the staff was very friendly and helpful,0
overall i would recommend this hostel,0
wombats is a great place to stay,0
the staff is excellent and very helpful,0
the atmosphere in the hostel is great the rooms and bathrooms are very clean and tidy,1
definitely recommend this hostel to anyone traveling to london,0
one of the best hostels ive stayed at ever,0
big hostel big rooms big lounge good breakfast laundry service its secure and clean,1
also it is located near to some of the most important historical points in berlin topographie des terrors jewish museum etc,0
there are bus stops just in front of the hostel and a couple of metro stations just few minutes walking,0
the atmosphere at this hostel is just amazing and its extremely safe for solo female travelers,0
the staff goes beyond their means to help you out with anything you ask for,0
i highly recommend this place,0
i had a good stay at this small but nice hostel,0
the free breakfast was decent and the bed made for a good sleep slept in a 4bed dorm,0
rooms were really hot but then again it was 30 outside,0
kitchen was basic but clean as were the room toilets  common areas,1
great with a free safety box,0
i did not appreciate that you had to be out of the room between 1114 when cleaning was ongoing,1
close to the metro,0
very friendly staff,0
very misleading pictures basement setup with only 2 super small showers for the whole hostel,0
small community room with constant smell of weed,0
clean rooms and shower facilities friendly staff and the free breakfast was pretty good too,1
i was travelling alone and only staying 1 night,0
but i think the atmosphere would be better if you are in a group,0
location is great 5 mins walk from ox circus and tottenham ct rd stations,0
access to rooms was with key cards and lockable baskets were provided under beds,0
layout was a little confusing but not a major problem,0
5 min walk from swiss cottage tube no escalator at train station fantastic building awaits you and great social aspects,0
lockers in dorms are so tiny but extra locker space available including a safe,0
poor approach to welcome orientation by all staff,0
close to all amenities,0
situated on the rosenthaler platz this hostel has a perfect location,0
everything is easy reachable and the area is really good served,0
the hostel itself stands out with the incredible cleanliness,1
the breakfast has a good money value would recommend it,0
this hostel was incredible,0
my rooms were clean the bathrooms were clean and it was so conveniently located for touring and the nightlife,1
ill definitely be coming back here next time in london,0
overall a good hostel,0
clean rooms and great atmosphere,1
however no kitchen facilities,0
very hot hostel,0
no ac in the room,0
cannot sleep at night because of the heat,0
not coming back,0
on the positive there is one staff who is extremely helpful ,0
her name is tamara,0
cant say anything negative nice arrangement with bathroom next to doorms for females lovely interior and style relaxed but more than a backpackers place,0
definitely a good deal for the money you pay,0
could benefit from a common room area,0
very nice place,0
good atmosphere,0
decent place close to a lot of attractions and stations ,0
good crowd,0
but i thought the staff could do a bit more to get people interacting with each other ,0
clean hostel ,1
would stay there again,0
the beds were super uncomfortable,0
you can feel all the wires under neither,0
there was a severe lack of plugs for charging things,0
they had two charging holes per 4 beds so only two people could charge things and the other two couldnt,0
also the place was in a very old building,0
made it feel very dirty and unclean,1
the hostel is in a good location and the room was very clean,1
good value for money i will book aagain,0
the owner and staff ate very accomodating ,0
clean place too,1
david was really welcoming and a godsend after the trip we had just had,0
while we werent able to check in right away we got there early,0
we were able to shower and chill out in the patio,0
we were able to lock our important items up and leave our bags under watch while we went and got some food also recommended by david,0
he was lovely,0
really great service,0
the room was clean and accommodated our needs for one night,1
water pressure in the shower was wonderful,0
we would definitely stay again,0
great access to train stations both jr and other,0
nice small hostel with everything you need,0
bed are comfy showers are clean with hair dryers etc,1
good air con in rooms,0
it was good exactly what i wanted ,0
loved it,0
will come back before i leave japan,0
im sure,0
i had an excellent stay here,0
the staff were super friendly and helpful and the free drink every night was an amazing bonus,0
the beds were super comfortable and the pods in the dorm rooms were surprisingly very sound proof,0
the only minor inconvenience was the trek to the dorms on the 5th floor every day and the 45min distance from shibuya,0
otherwise a great place to stay,0
a very friendly and welcoming hostel ,0
small rooms and the staff made an effort to include all guests ,0
renovations and improvements are clearly being done and the kitchen area is great ,0
recommended ,0
a nice hostel,0
fun atmosphere in the bar area and the hostel stayers get a 25 discount,0
staff were very nice and helpful,0
no kitchen but the rest of the facilities were great,0
curtain on the bed was good and every bed has power outlets next to them,0
mostly clean everywhere,1
location was in a sort of dodgy area but very close to the train station which was helpful,0
awesome hostel in hongdae korea ,0
owner was so nice and welcoming and its really easy to make friends in this hostel,0
recommended if you like drinking and meeting new peopletravelers,0
had a great time here and will surely come back if i go back to korea,0
aloha hostel was very average,0
first of all you had to pay for your stay in cash only which was highly inconvenient,0
we were on the top floor and the rooms were very hot at night despite being next to an open window,0
thankfully we asked the staff for a fan and was able to get one,0
the showers were mouldy and cold water,0
the free breakfast was pretty good,0
but you had to be fast,0
otherwise the milk and juice would be warm,0
the hostel was located pretty much around the corner from historical tourist sights ,0
the staff were nice and the reception was always staffed however they didnt know about good places to go out to for night life when we asked ,0
there was no kitchen,0
so couldnt store food or make it ,0
the bathroom was clean ,1
the communal areas had no atmosphere and there werent many english guests when we went ,0
there was a luggage room to use once we had checked out and there were lockers in the room,0
good hostel in a very safeaccessible neighborhood,0
easy to travel to from the airportsmetrobus lines,0
really nice touches that they offer charging converters locks and other useful objects free of charge,0
staff is very friendly and helpful and the rooms are clean and offer large lockers ,1
great stay,0
this place was very nice,0
my only complaints are they often left the luggage door open and unmonitored when it was supposed to be locked,0
also the pillows were very lumpy and uncomfortable,0
despite this i would still recommend this hostel,0
i know the closed window gig is for security reasons but on a hot summer day with 7 other people it can get pretty disgusting,0
felt sick and could hardly breathe  get what you paid for i guess,0
i probably just had a bad experience,0
comfy beds but the sleep was dreadful due to the lack of air,0
you wake up and people would hog the single fan that couldnt even reach every person anyway and basically did nothing to cool the room down,0
also,0
?£25 to reserve a space,0
joke,0
this hostel is huge and bustling â?? feels larger than many hotels and the rooms had a hotellike feeling to me,0
the facilities were all very nice especially the rooms but due to the size i definitely felt that this hostel was much more impersonal than some of the smaller more friendly ones ive also stayed in,0
location is average â?? right beside a metro stop but not close to the seine and major paris attractions,0
average hostel with trendy downstairs bar,0
twin rooms are tiny and uninspiring felt a lot like prison cells with poor quality bedding,0
showers smelled like toilets poor quality plumbing,1
overall not an amazing hostel but this is somewhat offset by first impressions  the downstairs bar is very trendy but the overall stay doesnt live up to it,0
great location nice staff noisy evenings,0
great hostel near eiffel towergreat breakfastgreat facilities,0
like computers and,0
great welcoming,0
great room,0
we had a private room to sleep 2 2 single beds and the room was enormous,0
the windows opened right up and we had aircon aswell which is a big plus for hostels,0
still shocked by how big and spacious the room was,0
definitely would consider staying back here if ever in berlin again,0
the location is goodnear to many pubs and restaurants but the room and beds are too uncomfortable,0
the room was not airconditioned or ventilatedso there was too hot inside,0
the stuff was helpful and the breakfast was good but simple,0
clink 78 is a noisy and crowded hostel,0
i wouldnt recommend clink 78 hostel for your stay in london,0
two peas is located in the middle of china town great location and near a traincar line ,0
super convenient ,0
the staff were really helpful and nice ,0
the pods themselves were comfortable tho im fairly small 52 they felt big enough ,0
bathrooms were sort of far awaytwo floors from where i was staying ,0
kitchen had no ventilation so could be insanely hot during the day ,0
it was an overall good experience ,0
would book again,0
i was only one night in paris,0
it slipped by too quickly,0
the hostel was perfect,0
the staff were kind and helpful,0
i left quickly in the morning to catch my plane,0
the hostel was super clean,1
what you see is what you get,0
excellent faculties,0
the photographs on hostel world are acurate,0
would love to stay here again for a few more days,0
great hostel,0
the rooms were incredibly crowded and poorly up kept,0
the common areas were small and crowded as well,0
the hostel was right across a tube station but there wasnt much around very residently area way out of the city center,0
great rooms great views amazing facilities location is okay not that central but works as it is connected by public transport good atmosphere as the hostel is always happening,0
i absolutely loved staying here,0
great atmosphere and super friendly and helpful staff,0
close to transit so getting around from camden isnt a problem,0
id definitely stay here again would have extended my stay if it werent the end of my trip,0
this was the best hostel i have ever been to,0
super friendly staff great vibe and met a bunch of really nice people would recommend for sure,0
spacious by london standards modern ensuite facilities,0
plug and usb socket by each bed ???ì??Å¼???ì??Å¼late checkout ???ì??Å¼???ì??Å¼,0
my personal niggles  only ensuite rooms available with the nature of a hostel people come and go at various hours and this means even more noise and disruption,0
there were lengthy hairs in several places on the bed and in the basin and shower  no one staying in my room could have been responsible for these,1
out of the hostels control  but no air flow and no ac hot,0
we had a good stay at the red lantern hostel,0
wellorganised clean and cosy hostel with friendly staff,1
we asked if we could let send our train tickets ordered from a travel company to the hostel which was no problem and which they kept safely for us,0
breakfast can be ordered at additional cost but this is rather overpriced for what you get,0
all in all a very good stay at a good price,0
sadly because of circumstances i didnt end up staying the night here but the staff did help me to sort my issue by letting me use their laptop to contact friends etc,0
was a shame,0
i couldnt stay as the bar had a really good backpacker atmosphere and the rooms were clean and comfortable,1
the worst hostel i stayed in during my whole 2 month trip in china,0
very expencive and very not worthy of the 140 ,0
yuan per bed dorm room ,0
the room stincked of cigarettes the toilet was blocked and after 2 minutes shower the whole extremly tiny bathroom was flooded really flooded ,1
and if that is not bad enough we were asked to take the sheets out of the beds when we checked out ,0
dont go there ,0
stay was good a bit confusing at reception due to no check in or checking of passport or payment,0
based on trust which was unexpected but nice,0
great hostel and friendly environment,0
rooms are clean breakfast is good and the bar is the perfect place to meet people if youre travelling alone,1
had the best few days staying here,0
we stayed here for 2 nights in the very hot july weather,0
on entering the dorm via security card i could hardly breathe it was so hot and stuffy,0
it was impossible to get the window to stay open,0
i located an aircon switch on the wall and asked the man at reception about it,0
he came up and put it on and we were able to sleep despite the heat,0
the next night i came up late to the dorm and it was just the same,0
being very tired i didnt go back down to ask but regret this,0
it was terrible,0
great place to stay the food in bar was great and staff was friendly,0
the only thing is the security guard takes his job way too seriously and plays favorites when it comes to inforcing the quite rule in the smoking area,0
had to ask me if i actually stayed there when i wasnt saying anything and got blamed for being to loud ,0
but overall great place ,0
dont let that one thing deter you from staying there,0
unorganised but great location,0
the building is a bit weird because the hostel is just one floor and there are other business in the building,0
the location is very good,0
its in a nice neighborhood and super close to the ubahn,0
the bathrooms were nice,0
i had a private room which was spacious and clean,1
that view,0
what an amazing place,0
the location is just perfect really close to cool bars and hip restaurants,0
the staff is super helpful and lively,0
the free bbq on saturday was superb,0
it was a great place to meet all kinds of travellers enjoy the rooftop and then head out for some drinks and clubbin,0
would definitely come back,0
the wombats city hostel was very nice and had a good atmosphere,0
the rooms were clean and the ensuite was good,1
the staff were friendly and the hostel was located only a short walk from the centre also close to public transport routes,0
more than 30 mins to check in in other hostels it takes only 5mini had to fill out a form again with the same info even if i already had done my reservation online and pay by cash,0
cause they didnt have the terminal which i had to go find an atm ,0
not very good security theres only one key to the room and the last one to come out has to take it to the reception but people tend to forget and they dont give it back,0
the baggage room doesnt have lockers and anyone can have access to it,0
a little ways outside the city but right by a metro station so it was pretty easy to get around,0
the rooms were really nice and overall pretty clean,1
the rooftop bar is really cool with a great view and much better than the downstairs one,0
so i recommend checking that out,0
they are very organized here,0
the facilities were great even for 8 people to a room,0
there are plenty of public bathrooms around if you private one is busy,0
the location is perfect,0
i would come back again,0
the hostel just isnt very clean at all bathrooms were pretty disgusting ,1
outside of the rooms it was absolutely boiling in all the bathrooms and public areas,0
rooms had small ac units which at least cut through the stuffiness a bit ,0
i was on the top bunk and didnt feel safe at all,0
they are very rickety and old with no side rail ,0
the cafe bar and patio areas are all very nice places to chill but the hostel itself wasnt amazing,0
this was a great place,0
the only thing was at first it was very frustrating to find and the taxi drivers are not helpful,0
but after coming up from the asakusa station going right and walking to a main road then another right there until i came to a subway station entrance,0
i made a right there and the ks house is just about halfway down what looks like an alley,0
the sign is above and not lit so can be hard to see,0
but there is a family mart near there is a shrine near so much to see,0
very clean convenient location wonderful staff,1
this is a fun hostel and definitely a party hostel,0
its very easy to make friends here,0
the hosts are a lot of fun as well and make things fun,0
they double booked my room which was a bit of a nuisance cuz i had to walk to their other associated hostel a bit away in the scorching heat but outside of that,0
i had a blast here and would for sure stay here again,0
ac doesnt work very well fyi so plan for that cuz the rooms are very hot in summer,0
staff were on strike when arriving very frustrating trying to check in and get sorted,0
not much of an atmosphere even in the bar area where the drinks were extremely awful,0
rooms were spacious and bathrooms were cleaned daily,1
good kitchen and laundry facilities,0
only thing that really put this hostel down was no ac we were given a fan but the only plug we could put it in not over our heads in bed was broken so we roasted,0
stayed in better wombats,0
the rooms were adorable  super clean,1
the common area downstairs by the entrance is a great place to hangout with new friends too,0
good location however it was so hot some nights it was impossible to sleep,0
was not as easy to meet people as in other hostels,0
showers and bathrooms were tiny and pretty grimy,1
overall ok stay,0
had a great stay at london backpackers,0
the staff is amazing and the vibe is awesome,0
there was no hot water at the time of our stay and this seems to have been an issue for a long time,0
otherwise helpful friendly staff some confusion over our check in but all sorted by a quick call  security of rooms relies on very old often broken lockers and other people in the room remembering to lock the door with the key,0
overall good,0
rooms were a bit tight on space but other than that i really enjoyed my stay,0
plus the pubcrawl was amazing,0
i had so much fun  made some really awesome friends,0
loved it ,0
extended my stay and dont see a reason to go any other place,0
nice and clean able to use guest shower before check in,1
a lovely hostel our flight was delayed and they were very helpful in allowing us to check in late,0
the hostel has a nice laidback vibe and the staff are friendly and informative ,0
stayed in the female dorm which was comfortable and quiet,0
highly recommend this hostel and would use again,0
had a really pleasant stay here and would recommend it to people if they didnt want to stay in the up and coming areas of berlin,0
kitchen facilities are not convenient for most rooms the place is huge but we ate out around berlin anyway,0
so it wasnt an issue,0
overwhelmingly positive experience,0
very clean well organised hostel with a great atmosphere ,1
pros ,0
 right next to kuramae station shinjuku without transfers and close to asakusa st,0
shibuya without transfers ,0
 very cool and clean  really welcoming and professional staff  easy going people youthful atmosphere ,0
 great caf?? full of locals  proper barista level coffee ,0
cons  if youre like me and grab 2 coffees a dayit adds up ,0
thanks kaede for practising japanese with me,0
probably one of the worst hostels iv stayed in,0
there was lockers in the room to lock your things away but none of them worked there was absolutely no source of air conditioning in our 10 person room so was extremely hot and smelly,0
they offered no source of kitchen or fridge for you to store anything as we needed food for our bus ride on last day the staff at reception were rude and never smiled or polite ,0
the showers were grubby and needed the biggest scrub and clean,1
the rooms in the basement had now windows so it gets extremely hot and stuffy ,0
also the bathrooms were constantly closed for cleaning and you had to pay ?£8 if you want brekkie there which wasnt that great,0
while the location of the hostel was conveniently close to the north train station it did not have basic amenities,0
there was no shower curtain and the shower was in view of many neighbors the laundry service was down so we were unable to rent towels and the hostel was unbelievably hot during the entire stay,0
the bathroom showed obvious signs of a lack of proper cleaning for example we found bugs in the bathtub and lots of hair on the floor,1
i had a great stay,0
one of the best hostels ive ever stayed in,0
nice facilities,0
subway and groceries around the corner,0
hostel is a bar as well,0
unfortunately the bar closes at 2am and if you have to wake up early your kinda sol,0
bar is mostly french as well,0
i really enjoyed my stay at palmers lodge,0
everyone was nice and i was very comfortable with the facility,0
i stayed in all female 4 bedroom and left with a new friend,0
awesome place overall,0
felt very comfortable and at home straight away,0
highly recommend this place,0
dont forget to ask about rosss pub crawl one of the highlights of our stay,0
highly recommend this hostel,0
very modern barclub is good,0
downside would be the lack of kitchen and you arent allowed to bring your own food in so not ideal for anyone on a budget,0
quite far from the centre however theres two metro stops very close,0
i only stayed one night but had a very positive experience,0
staff were very friendly and helpful when storing my bag after i checked out the rooms and facilities were really nice and clean and surprisingly spacious,0
i would definitely stay again and recommend it to anyone ,0
great place very good location lot of nice cafes in the neighborhood,0
it was a great hostel we had a family room as we had our 3 5 yr olds with us,0
we were lucky to have the top room with a roof terrace so the boys had a private space out of the room,0
the grounds are beautiful and the local park was great ,0
we did however have to called reception at 2340 as the lower rooms were really loud  stamping around,0
the staff responded neutrally  swiftly ,0
we did also unfortunately have neighbouring guests who liked to just let their  the shared bathroom door,0
nice clean hostel in a good location,1
great spot,0
lots of fun uk boyz,0
the door was open all the time so actually anyone could get in ,0
the beds were not assigned so that we just got into the room and took one that looked ass if it was free but it wasnt so it was pretty annoying for the girl who slept there the night before to get there and realize that someone else was sleeping on her bed ,0
the wifi didnt work there were only a few wall plugs next to the door of the room so we had to leave our phones there ,0
the breakfast was great,0
horrible experience here,0
was in an all girls 14 person dorm arrived late at night to find girl above me brought a guy in the room and continued to sleep with him on top of me,0
complained to staff as they wouldnt stop and staff said they would do nothing about it,0
left the next morning,0
bathrooms are gross,1
also if you are sleeping anywhere near a window good luck trying to sleep,0
i didnt know what to expect bc,0
i had never stayed in a hostel,0
it was fabulous,0
amazing if youre solo traveller,0
great atmosphere,0
i have had limited experience staying in hostels and did not know what to expect,0
the room i stayed in was extremely cramped and was far too small to sleep 6 people even 4 would be a stretch,0
the room got so hot at night even with the window open and the fan open,0
the window is tiny and there is no air flow everything stinks in regards to the rooms at this place,0
i have since stayed at a cheaper hostel with a room 4x,0
it was ideal,0
id recommend it for that but not as a place to meet travel buddies,0
í‚¤ì¹œê³¼ ë„“ì€ ë¼ìš´ì§€ ì„¸íƒì‹¤ê¹Œì§€ ìž˜ ê°–ì¶°ì ¸ ìžˆì–´ì„œ ìž¥ê¸°ë¡œ ì—¬í–‰í•˜ê±°ë‚˜ ì¹œêµ¬ë“¤ê³¼ ì—¬í–‰í•˜ëŠ” ì—¬í–‰ìžì—ê² ì •ë§ ì•ˆì„±ë§žì¶¤ìž…ë‹ˆë‹¤ ìˆ™ì†Œì—ì„œ 57ë¶„ ê±°ë¦¬ì— ë§ˆíŠ¸ë„ ìžˆì–´ì„œ ì¢…ì¢… ìŒì‹ë„ í•´ë¨¹ê³  ì¢‹ì•˜ìŠµë‹ˆë‹¤,0
thoroughly enjoyed my stay at hostel one,0
the staff and volunteers were welcoming friendly and super fun to hangout with  they made our trip that much more fun,0
the free dinner was delicious and a great way to meet everyone staying,0
the structure of happy hour  drinking games  going out is a great way of doing things and made everyone staying at the hostel feel like a friend,0
definitely recommend,0
good ,0
only problem with sharing shower and 2 wc with male guest,0
room has mosquitos and trash bin walls dirty ,1
a little mo cleaning will improve,1
would have been nice to have a safe available for our passports,0
we got a room with a double bed which was kinda uncomfortable and the room is small,0
great location but would have preferred a comfier stay for what we paid for,0
when we were there it was extremely hot in london and very stuffy throughout the hostel,0
it was a good place to stay quite cosy,0
friendly staff,0
breakfast was free but mostly breads and cheeses the coffee was burnt,0
beautiful historic building and the location was excellent,0
really just a place to sleep though the outdoor courtyard was lovely,0
my friend and i were in a 4 bed female dorm but there was one set of bunk beds and the other was a bed with another pull out one in the middle of the floor,0
it meant absolutely no walking space and was certainly not advertised as a bed on the floor it was advertised as bunk beds,0
overall was nice and the rooms were nice,0
although the shower head was too low in some showers im 510 and i was a full head above the shower head so made it very difficult to shower,0
also the elevator was out of service so had to carry my 20kg backpack and other backpack up 6 flights of stairs,0
was very inconvenient and it was like that all week staff didnt talk about it whatsoever or apologiseoffer anything for the inconvenience,0
good little place to stay if you just want somewhere to rest your head,0
nice rooms nice staff nice location just no social vibe there but no complaints,0
staff people are very helpful but egypt is not easy to move around,0
hotels and hostels are very old and in very bad conditions,1
egypt was a superb culture in the past,0
not anymore,0
saar from israel ,0
before my flight i stayed in the hostel for a few nights i really liked the atmosphere super friendly staff that willing to help every time,0
the hostel really clean which hard to find in india ,1
located a bit far from the center but one can reach the metro station easily by tuktuk or walking ,0
highly recommend ,0
pro  great location not in a too touristy area lovely pub called the queens head very close by,0
the building is cool old town hall clean safe con  unable to sleep due to lack of air circulation they cant change the building,1
so it is outdated absolutely no oxygen small room no window staff could be friendlier and say something about what hostel offers too big families and big tourist groups it seems like a nice hostel but dont stay here,0
 you wont be able to sleep at all,0
amazing host and amazing people,0
would definitely come back here for a good time,0
loved this place was soo much better than all the other hostels ive been in,0
met some really fun people,0
location is great because its a walk from berlin wall and the s bahn and u bahn train,0
if your flying in read their directions on how to get there and its a lifesaver,0
had a fantastic time in the hostel and will definitely be coming back again,0
staff were always so helpful,0
great location an okish hostel,0
they play loud music into the night which you can fully hear,0
the key cards wouldnt work with the elevators so you had to go up floors with your luggage then use a floor that had buttons instead of the key card insert,0
the room was extremely tiny there was nothing separating the shower from the rest of the restroom so the water went everywhere,0
the cabinets underneath the bunks got stuck and the outlets didnt work,0
the place is very well located and easy to move around many interesting places in tokyo,0
staff friendly and willing to help all the time,0
great hostel with great staff clean rooms and nice showers in each of the rooms,1
this is just not a very young and social hostel so dont expect to meet any travellers around 1835yo,0
maybe it was just the time we came but it was mainly kids with their parents hanging around in the common area,0
overall very good only downside rooms were a bit hot,0
great atmosphere in the common areas,0
staff were friendly and helpful,0
rooms were modern and clean,1
plenty of bathrooms and showers,0
there is a barrestaurant but we would have liked to have a kitchen,0
short walk to train station,0
maybe enforce a lights off policy after 11pm,0
we had other guests coming in to the room at 1am turning the light on when we had to catch an early train,0
apart from that we loved this hostel and would come back again,0
a friend and i booked 2 bunk beds on short notice the night before when we got stranded in tokyo with nowhere to stay ,0
i was worried that oji would be out of the way but with public transportation was a convenient ride away ,0
i forgot some bags in my room and the amazing staff kept it safe for me until i returned to tokyo a week later,0
thank you so much,0
as there is no air conditioning in this hostel and during mid july its was super hot and stuffy inside the room,0
i cant really sleep with it,0
there is no air ventilation in the room,0
in a great location close to city centre was very clean friendly staff great atmosphere cheap drinks,1
have to pay for towels and linen however these are only around 2 euros each so not a problem,0
really enjoyed our stay here would highly recommend,0
would totally recommend it,0
great location cool building and rooms even though theres not much space left on it besides the bunk beds and lockers,0
 its clean and nice ,1
worst things,0
the wifi doesnt work that good you have to connect to it every time you come back to the hostel,0
top bunk bed is really high and the first step is kind of too far away from the floor if youre not a tall person,0
maybe add another step ,0
best things showers are greatroom and pressure,0
cash machine,0
good location,0
close to many transit stops,0
staff is very nice and accommodating,0
bar upstairs is really fun and has a cheap breakfast,0
they printed things out for us for free which was nice,0
lots of great restaurants nearby,0
the one complaint we have is that the wifi doesnt work in your rooms so you have to go upstairs or to the lobby,0
we were also there in very hot weather and there was no air con just a small fan that didnt reach anybody,0
this hostel is really central and easy to locate,0
in general the staff were helpful with food recommendations etc,0
nice washrooms,0
unfortunately there was a pretty serious bed bug incident while we were present that affected multiple beds in the female dorm,1
the manager dealt with it fairly well and was apologetic however i feel like there should have been greater urgency to resolve situation and staff should check beds more often,1
good little hostel we only stayed one night,0
but it was very clean and got a good sleep,1
good spot good location not too far away from tokyo eki,0
easy access to other train lines in tokyo,0
it was quiet clean and secure,1
nice hostel for a good price you either bring your own bed sheets and towels or pay for renting them at the reception,0
